"filename", "language", "Markdown", "C++", "C", "smoλ", "HTML", "JavaScript", "comment", "blank", "total"
"/home/maniospas/Desktop/p4ot/smol/backup/parser/expression/parse_runtype.cpp", "C++", 0, 299, 0, 0, 0, 0, 26, 8, 333
"/home/maniospas/Desktop/p4ot/smol/backup/parser/gather_tuple.cpp", "C++", 0, 104, 0, 0, 0, 0, 12, 5, 121
"/home/maniospas/Desktop/p4ot/smol/backup/parser/next_var/next_var.cpp", "C++", 0, 78, 0, 0, 0, 0, 13, 3, 94
"/home/maniospas/Desktop/p4ot/smol/backup/parser/next_var/next_var_and.cpp", "C++", 0, 68, 0, 0, 0, 0, 12, 2, 82
"/home/maniospas/Desktop/p4ot/smol/backup/parser/next_var/next_var_at.cpp", "C++", 0, 184, 0, 0, 0, 0, 12, 5, 201
"/home/maniospas/Desktop/p4ot/smol/backup/parser/next_var/next_var_buffer_at.cpp", "C++", 0, 334, 0, 0, 0, 0, 28, 25, 387
"/home/maniospas/Desktop/p4ot/smol/backup/parser/next_var/next_var_field.cpp", "C++", 0, 147, 0, 0, 0, 0, 14, 4, 165
"/home/maniospas/Desktop/p4ot/smol/backup/parser/next_var/next_var_or.cpp", "C++", 0, 66, 0, 0, 0, 0, 12, 2, 80
"/home/maniospas/Desktop/p4ot/smol/backup/parser/parse.cpp", "C++", 0, 216, 0, 0, 0, 0, 37, 9, 262
"/home/maniospas/Desktop/p4ot/smol/backup/parser/parse_signature.cpp", "C++", 0, 431, 0, 0, 0, 0, 20, 22, 473
"/home/maniospas/Desktop/p4ot/smol/backup/parser/properties/properties.cpp", "C++", 0, 217, 0, 0, 0, 0, 25, 9, 251
"/home/maniospas/Desktop/p4ot/smol/backup/parser/rebase.cpp", "C++", 0, 33, 0, 0, 0, 0, 12, 4, 49
"/home/maniospas/Desktop/p4ot/smol/backup/parser/returns/map_to_return.cpp", "C++", 0, 191, 0, 0, 0, 0, 17, 5, 213
"/home/maniospas/Desktop/p4ot/smol/backup/parser/returns/parse_return.cpp", "C++", 0, 69, 0, 0, 0, 0, 16, 4, 89
"/home/maniospas/Desktop/p4ot/smol/backup/parser/simplify.cpp", "C++", 0, 295, 0, 0, 0, 0, 26, 19, 340
"/home/maniospas/Desktop/p4ot/smol/backup/parser/tostr/recommendations.cpp", "C++", 0, 44, 0, 0, 0, 0, 14, 3, 61
"/home/maniospas/Desktop/p4ot/smol/backup/parser/tostr/signature.cpp", "C++", 0, 122, 0, 0, 0, 0, 3, 6, 131
"/home/maniospas/Desktop/p4ot/smol/backup/smolang.cpp", "C++", 0, 621, 0, 0, 0, 0, 38, 23, 682
"/home/maniospas/Desktop/p4ot/smol/backup/tokenize.cpp", "C++", 0, 467, 0, 0, 0, 0, 31, 25, 523
"/home/maniospas/Desktop/p4ot/smol/backup/tokenize.h", "C++", 0, 41, 0, 0, 0, 0, 13, 9, 63
"/home/maniospas/Desktop/p4ot/smol/backup/utils/base62.cpp", "C++", 0, 18, 0, 0, 0, 0, 12, 4, 34
"/home/maniospas/Desktop/p4ot/smol/backup/utils/base62.h", "C++", 0, 7, 0, 0, 0, 0, 12, 4, 23
"/home/maniospas/Desktop/p4ot/smol/backup/utils/common.cpp", "C++", 0, 179, 0, 0, 0, 0, 17, 20, 216
"/home/maniospas/Desktop/p4ot/smol/backup/utils/common.h", "C++", 0, 33, 0, 0, 0, 0, 17, 11, 61
"/home/maniospas/Desktop/p4ot/smol/backup/utils/compiler.cpp", "C++", 0, 31, 0, 0, 0, 0, 4, 5, 40
"/home/maniospas/Desktop/p4ot/smol/backup/utils/compiler.h", "C++", 0, 34, 0, 0, 0, 0, 13, 8, 55
"/home/maniospas/Desktop/p4ot/smol/backup/utils/faststring.cpp", "C++", 0, 14, 0, 0, 0, 0, 12, 3, 29
"/home/maniospas/Desktop/p4ot/smol/backup/utils/faststring.h", "C++", 0, 31, 0, 0, 0, 0, 12, 7, 50
"/home/maniospas/Desktop/p4ot/smol/backup/utils/segments.h", "C++", 0, 292, 0, 0, 0, 0, 45, 23, 360
"/home/maniospas/Desktop/p4ot/smol/backup/utils/tasks.cpp", "C++", 0, 24, 0, 0, 0, 0, 0, 1, 25
"/home/maniospas/Desktop/p4ot/smol/backup/utils/tasks.h", "C++", 0, 15, 0, 0, 0, 0, 0, 3, 18
"/home/maniospas/Desktop/p4ot/smol/backup/utils/topython.cpp", "C++", 0, 25, 0, 0, 0, 0, 0, 2, 27
"/home/maniospas/Desktop/p4ot/smol/backup/utils/topython.h", "C++", 0, 8, 0, 0, 0, 0, 0, 4, 12
"/home/maniospas/Desktop/p4ot/smol/docs/blog/2025-09-06.html", "HTML", 0, 0, 0, 0, -2, 0, 0, 0, -2
"/home/maniospas/Desktop/p4ot/smol/docs/index.html", "HTML", 0, 0, 0, 0, 2, 0, 0, 0, 2
"/home/maniospas/Desktop/p4ot/smol/docs/std.html", "HTML", 0, 0, 0, 0, -273, 0, 0, 2, -271
"/home/maniospas/Desktop/p4ot/smol/docs/std.s", "smoλ", 0, 0, 0, 1, 0, 0, 0, 0, 1
"/home/maniospas/Desktop/p4ot/smol/docs/tutorial.html", "HTML", 0, 0, 0, 0, 106, 0, 8, 30, 144
"/home/maniospas/Desktop/p4ot/smol/lsp/server.js", "JavaScript", 0, 0, 0, 0, 0, 54, 1, 8, 63
"/home/maniospas/Desktop/p4ot/smol/lsp/smol_directives.js", "JavaScript", 0, 0, 0, 0, 0, 2, 0, 0, 2
"/home/maniospas/Desktop/p4ot/smol/self/console.c", "C", 0, 0, 395, 0, 0, 0, 8, 20, 423
"/home/maniospas/Desktop/p4ot/smol/self/console.s", "smoλ", 0, 0, 0, 3, 0, 0, 0, 1, 4
"/home/maniospas/Desktop/p4ot/smol/self/main.s", "smoλ", 0, 0, 0, 1, 0, 0, 1, 0, 2
"/home/maniospas/Desktop/p4ot/smol/src/codegen.h", "C++", 0, -78, 0, 0, 0, 0, 0, -10, -88
"/home/maniospas/Desktop/p4ot/smol/src/codegen/codegen.cpp", "C++", 0, -112, 0, 0, 0, 0, -17, -10, -139
"/home/maniospas/Desktop/p4ot/smol/src/codegen/codegen_all.cpp", "C++", 0, -105, 0, 0, 0, 0, -13, -8, -126
"/home/maniospas/Desktop/p4ot/smol/src/codegen/codegen_sync.cpp", "C++", 0, -52, 0, 0, 0, 0, -15, -14, -81
"/home/maniospas/Desktop/p4ot/smol/src/codegen/handle_def_of_service.cpp", "C++", 0, -94, 0, 0, 0, 0, -13, -5, -112
"/home/maniospas/Desktop/p4ot/smol/src/codegen/handle_include.cpp", "C++", 0, -107, 0, 0, 0, 0, -21, -7, -135
"/home/maniospas/Desktop/p4ot/smol/src/codegen/handle_install.cpp", "C++", 0, -45, 0, 0, 0, 0, -12, -3, -60
"/home/maniospas/Desktop/p4ot/smol/src/codegen/handle_union.cpp", "C++", 0, -44, 0, 0, 0, 0, -12, -9, -65
"/home/maniospas/Desktop/p4ot/smol/src/def.cpp", "C++", 0, -72, 0, 0, 0, 0, -12, -6, -90
"/home/maniospas/Desktop/p4ot/smol/src/def.h", "C++", 0, -297, 0, 0, 0, 0, -25, -26, -348
"/home/maniospas/Desktop/p4ot/smol/src/function.h", "C++", 0, 123, 0, 0, 0, 0, 1, 8, 132
"/home/maniospas/Desktop/p4ot/smol/src/importer.cpp", "C++", 0, 173, 0, 0, 0, 0, 15, 14, 202
"/home/maniospas/Desktop/p4ot/smol/src/importer.h", "C++", 0, 46, 0, 0, 0, 0, 0, 2, 48
"/home/maniospas/Desktop/p4ot/smol/src/module.cpp", "C++", 0, 75, 0, 0, 0, 0, 1, 2, 78
"/home/maniospas/Desktop/p4ot/smol/src/module.h", "C++", 0, 53, 0, 0, 0, 0, 0, 7, 60
