Date : 2026-01-12 05:10:08
Directory : /home/maniospas/Desktop/p4ot/smol
Total : 220 files,  23785 codes, 2467 comments, 2359 blanks, all 28611 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /home/maniospas/Desktop/p4ot/smol/lsp/smol_keywords.js                                    | JavaScript |          4 |          0 |          0 |          4 |
| /home/maniospas/Desktop/p4ot/smol/lsp/syntaxes/smolambda.tmLanguage.json                  | JSON       |         45 |          0 |          1 |         46 |
| /home/maniospas/Desktop/p4ot/smol/self/console.c                                          | C          |        395 |          8 |         20 |        423 |
| /home/maniospas/Desktop/p4ot/smol/self/console.s                                          | ARM        |         16 |          6 |          3 |         25 |
| /home/maniospas/Desktop/p4ot/smol/self/main.s                                             | ARM        |         37 |         11 |          6 |         54 |
| /home/maniospas/Desktop/p4ot/smol/src/console.h                                           | C++        |         10 |          0 |          1 |         11 |
| /home/maniospas/Desktop/p4ot/smol/src/function.cpp                                        | C++        |         99 |          4 |          5 |        108 |
| /home/maniospas/Desktop/p4ot/smol/src/function.h                                          | C++        |        133 |          0 |          7 |        140 |
| /home/maniospas/Desktop/p4ot/smol/src/importer.cpp                                        | C++        |        178 |         16 |         13 |        207 |
| /home/maniospas/Desktop/p4ot/smol/src/importer.h                                          | C++        |         57 |          0 |          3 |         60 |
| /home/maniospas/Desktop/p4ot/smol/src/module.cpp                                          | C++        |        440 |         39 |         24 |        503 |
| /home/maniospas/Desktop/p4ot/smol/src/module.h                                            | C++        |         87 |          1 |         11 |         99 |
| /home/maniospas/Desktop/p4ot/smol/src/smol.cpp                                            | C++        |         17 |          2 |          4 |         23 |
| /home/maniospas/Desktop/p4ot/smol/std/core.s                                              | ARM        |         17 |          6 |          2 |         25 |
| /home/maniospas/Desktop/p4ot/smol/std/core/convert.s                                      | ARM        |        170 |         24 |         14 |        208 |
| /home/maniospas/Desktop/p4ot/smol/std/core/err.s                                          | ARM        |         56 |         26 |         11 |         93 |
| /home/maniospas/Desktop/p4ot/smol/std/core/num.s                                          | ARM        |        191 |         95 |         75 |        361 |
| /home/maniospas/Desktop/p4ot/smol/std/core/range.s                                        | ARM        |         35 |          7 |          9 |         51 |
| /home/maniospas/Desktop/p4ot/smol/std/core/str.s                                          | ARM        |        283 |         82 |         79 |        444 |
| /home/maniospas/Desktop/p4ot/smol/std/file.s                                              | ARM        |        294 |        103 |         41 |        438 |
| /home/maniospas/Desktop/p4ot/smol/std/html.s                                              | ARM        |         42 |         11 |         17 |         70 |
| /home/maniospas/Desktop/p4ot/smol/std/map.s                                               | ARM        |         87 |         14 |         26 |        127 |
| /home/maniospas/Desktop/p4ot/smol/std/math.s                                              | ARM        |        104 |         44 |         31 |        179 |
| /home/maniospas/Desktop/p4ot/smol/std/mem.s                                               | ARM        |         16 |          4 |          2 |         22 |
| /home/maniospas/Desktop/p4ot/smol/std/mem/arena.s                                         | ARM        |        122 |         25 |         28 |        175 |
| /home/maniospas/Desktop/p4ot/smol/std/mem/device.s                                        | ARM        |         85 |         16 |         16 |        117 |
| /home/maniospas/Desktop/p4ot/smol/std/mem/grid.s                                          | ARM        |         57 |          0 |          8 |         65 |
| /home/maniospas/Desktop/p4ot/smol/std/mem/str.s                                           | ARM        |        118 |         32 |         17 |        167 |
| /home/maniospas/Desktop/p4ot/smol/std/os.s                                                | ARM        |        107 |         41 |         20 |        168 |
| /home/maniospas/Desktop/p4ot/smol/std/oscommon.h                                          | C++        |        124 |         16 |         28 |        168 |
| /home/maniospas/Desktop/p4ot/smol/std/rand.s                                              | ARM        |         81 |         24 |         13 |        118 |
| /home/maniospas/Desktop/p4ot/smol/std/ray.s                                               | ARM        |        128 |         46 |         25 |        199 |
| /home/maniospas/Desktop/p4ot/smol/std/rayget.s                                            | ARM        |         14 |          3 |          2 |         19 |
| /home/maniospas/Desktop/p4ot/smol/std/runtime/auto.h                                      | C++        |          7 |         47 |          4 |         58 |
| /home/maniospas/Desktop/p4ot/smol/std/runtime/eager.h                                     | C++        |        106 |         52 |         26 |        184 |
| /home/maniospas/Desktop/p4ot/smol/std/runtime/threads.h                                   | C++        |        408 |         77 |         49 |        534 |
| /home/maniospas/Desktop/p4ot/smol/std/time.s                                              | ARM        |         37 |         12 |         10 |         59 |
| /home/maniospas/Desktop/p4ot/smol/std/vec.s                                               | ARM        |        218 |         46 |         32 |        296 |
| /home/maniospas/Desktop/p4ot/smol/tests/app/basic.s                                       | ARM        |          2 |          1 |          2 |          5 |
| /home/maniospas/Desktop/p4ot/smol/tests/app/fib.s                                         | ARM        |         12 |          5 |          6 |         23 |
| /home/maniospas/Desktop/p4ot/smol/tests/app/file.s                                        | ARM        |         25 |         11 |          5 |         41 |
| /home/maniospas/Desktop/p4ot/smol/tests/app/index.c                                       | C          |        347 |          4 |         16 |        367 |
| /home/maniospas/Desktop/p4ot/smol/tests/app/index.s                                       | ARM        |         20 |          4 |          6 |         30 |
| /home/maniospas/Desktop/p4ot/smol/tests/app/person.s                                      | ARM        |          7 |          1 |          2 |         10 |
| /home/maniospas/Desktop/p4ot/smol/tests/app/quicksort.c                                   | C          |        699 |          4 |         23 |        726 |
| /home/maniospas/Desktop/p4ot/smol/tests/app/quicksort.s                                   | ARM        |         59 |         16 |         13 |         88 |
| /home/maniospas/Desktop/p4ot/smol/tests/app/ray.c                                         | C          |        934 |          8 |         22 |        964 |
| /home/maniospas/Desktop/p4ot/smol/tests/app/ray.s                                         | ARM        |         53 |         16 |          7 |         76 |
| /home/maniospas/Desktop/p4ot/smol/tests/app/test.s                                        | ARM        |         11 |          3 |          3 |         17 |
| /home/maniospas/Desktop/p4ot/smol/tests/qualitative/access.s                              | ARM        |          6 |          3 |          2 |         11 |
| /home/maniospas/Desktop/p4ot/smol/tests/qualitative/acquire.s                             | ARM        |         12 |          5 |          3 |         20 |
| /home/maniospas/Desktop/p4ot/smol/tests/qualitative/advanced_proof.s                      | ARM        |         55 |          7 |         18 |         80 |
| /home/maniospas/Desktop/p4ot/smol/tests/qualitative/banana.c                              | C          |        349 |          4 |         13 |        366 |
| /home/maniospas/Desktop/p4ot/smol/tests/qualitative/banana.s                              | ARM        |          5 |          2 |          2 |          9 |
| /home/maniospas/Desktop/p4ot/smol/tests/qualitative/console.s                             | ARM        |          6 |          5 |          2 |         13 |
| /home/maniospas/Desktop/p4ot/smol/tests/qualitative/console_read.s                        | ARM        |          6 |          6 |          2 |         14 |
| /home/maniospas/Desktop/p4ot/smol/tests/qualitative/corbuffer.s                           | ARM        |          9 |          5 |          4 |         18 |
| /home/maniospas/Desktop/p4ot/smol/tests/qualitative/coroutine                             | C++        |         23 |          0 |          0 |         23 |
| /home/maniospas/Desktop/p4ot/smol/tests/qualitative/coroutine.s                           | ARM        |          6 |          1 |          3 |         10 |
| /home/maniospas/Desktop/p4ot/smol/tests/qualitative/hello.s                               | ARM        |         12 |          1 |          2 |         15 |
| /home/maniospas/Desktop/p4ot/smol/tests/qualitative/indent.s                              | ARM        |          5 |          1 |          1 |          7 |
| /home/maniospas/Desktop/p4ot/smol/tests/qualitative/nummap.s                              | ARM        |          8 |          5 |          3 |         16 |
| /home/maniospas/Desktop/p4ot/smol/tests/qualitative/own.s                                 | ARM        |          7 |          6 |          4 |         17 |
